key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_KINGMC105_04901_SEQ_00,星之覺園庭的阿爾菲諾似乎想前往下一個試煉的舞台。
1,TEXT_KINGMC105_04901_SEQ_01,
2,TEXT_KINGMC105_04901_SEQ_02,
3,TEXT_KINGMC105_04901_SEQ_03,
4,TEXT_KINGMC105_04901_SEQ_04,
5,TEXT_KINGMC105_04901_SEQ_05,
6,TEXT_KINGMC105_04901_SEQ_06,
7,TEXT_KINGMC105_04901_SEQ_07,
8,TEXT_KINGMC105_04901_SEQ_08,
9,TEXT_KINGMC105_04901_SEQ_09,
10,TEXT_KINGMC105_04901_SEQ_10,
11,TEXT_KINGMC105_04901_SEQ_11,
12,TEXT_KINGMC105_04901_SEQ_12,
13,TEXT_KINGMC105_04901_SEQ_13,
14,TEXT_KINGMC105_04901_SEQ_14,
15,TEXT_KINGMC105_04901_SEQ_15,
16,TEXT_KINGMC105_04901_SEQ_16,
17,TEXT_KINGMC105_04901_SEQ_17,
18,TEXT_KINGMC105_04901_SEQ_18,
19,TEXT_KINGMC105_04901_SEQ_19,
20,TEXT_KINGMC105_04901_SEQ_20,
21,TEXT_KINGMC105_04901_SEQ_21,
22,TEXT_KINGMC105_04901_SEQ_22,
23,TEXT_KINGMC105_04901_SEQ_23,
24,TEXT_KINGMC105_04901_TODO_00,尋找年紀較大的人
25,TEXT_KINGMC105_04901_TODO_01,和弗姆魯克談話
26,TEXT_KINGMC105_04901_TODO_02,再次和弗姆魯克談話
27,TEXT_KINGMC105_04901_TODO_03,繼續和弗姆魯克談話
28,TEXT_KINGMC105_04901_TODO_04,
29,TEXT_KINGMC105_04901_TODO_05,
30,TEXT_KINGMC105_04901_TODO_06,
31,TEXT_KINGMC105_04901_TODO_07,
32,TEXT_KINGMC105_04901_TODO_08,
33,TEXT_KINGMC105_04901_TODO_09,
34,TEXT_KINGMC105_04901_TODO_10,
35,TEXT_KINGMC105_04901_TODO_11,
36,TEXT_KINGMC105_04901_TODO_12,
37,TEXT_KINGMC105_04901_TODO_13,
38,TEXT_KINGMC105_04901_TODO_14,
39,TEXT_KINGMC105_04901_TODO_15,
40,TEXT_KINGMC105_04901_TODO_16,
41,TEXT_KINGMC105_04901_TODO_17,
42,TEXT_KINGMC105_04901_TODO_18,
43,TEXT_KINGMC105_04901_TODO_19,
44,TEXT_KINGMC105_04901_TODO_20,
45,TEXT_KINGMC105_04901_TODO_21,
46,TEXT_KINGMC105_04901_TODO_22,
47,TEXT_KINGMC105_04901_TODO_23,
48,TEXT_KINGMC105_04901_KRILE_000_001,呼……烹飪順利完成，真是讓人安心。
49,TEXT_KINGMC105_04901_ERENVILLE_000_005,現在只剩下一顆秘石了。<hex:02100103>最後的試煉，究竟會是什麼內容呢……
50,TEXT_KINGMC105_04901_WUKLAMAT_000_010,那麼，讓我們前往「友之試煉」吧！
51,TEXT_KINGMC105_04901_ALISAIE_000_015,是時候想辦法從巴庫賈賈那裡奪回秘石了……
52,TEXT_KINGMC105_04901_ALPHINAUD_000_020,現在只剩下一個試煉了。<hex:02100103>我們應該前往特萊約拉史詩「友之章」的舞台，<hex:02100103>也就是「瑪姆克」……
53,TEXT_KINGMC105_04901_ERENVILLE_000_021,但聽說因為土石流，蒂恩貝克洞通道還沒有修復好。
54,TEXT_KINGMC105_04901_KRILE_000_022,沒有其他路線嗎？
55,TEXT_KINGMC105_04901_ERENVILLE_000_023,沒有，這是唯一的路。<hex:02100103>聽說村民們已經開始修復工作了，<hex:02100103>再等一會兒應該就能通行了。
56,TEXT_KINGMC105_04901_ALPHINAUD_000_024,那麼，在修復工作完成之前，<hex:02100103>大家可以自由行動。
57,TEXT_KINGMC105_04901_ALPHINAUD_000_025,我想再看看這附近。<hex:02100103>埃倫維爾，可以帶路嗎？
58,TEXT_KINGMC105_04901_ERENVILLE_000_026,反正也沒其他事可做。
59,TEXT_KINGMC105_04901_ALISAIE_000_027,那我也一起去！
60,TEXT_KINGMC105_04901_KRILE_000_028,我要調查一下爺爺的事情。<hex:02100103>瑪布爾說他曾來過雅克特爾樹海。
61,TEXT_KINGMC105_04901_WUKLAMAT_000_029,那我也陪你去！
62,TEXT_KINGMC105_04901_WUKLAMAT_000_030,<hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>，你也一起吧？<hex:02100103>光是等著也很無聊吧！
63,TEXT_KINGMC105_04901_ALPHINAUD_000_031,那麼，等到合適的時候，<hex:02100103>我們再回到這裡集合。
64,TEXT_KINGMC105_04901_KRILE_000_032,好的，讓我們重新整理一下信息。<hex:02100103>爺爺來到這片樹海大約是20年前，<hex:02100103>所以可能見過他的人應該是成年人。
65,TEXT_KINGMC105_04901_KRILE_000_033,我們去找這個村子裡年紀較大的人，<hex:02100103>問問他們是否見過來自異國的魔道士！
66,TEXT_KINGMC105_04901_WUKLAMAT_000_040,讓我們問問這位大叔吧！
67,TEXT_KINGMC105_04901_KRILE_000_045,希望他知道一些關於爺爺的事情……
68,TEXT_KINGMC105_04901_XBALAALOLD04901_000_050,大約20年前，是否見過異國的魔道士？<hex:02100103>突然問這個，我也不太記得了……
69,TEXT_KINGMC105_04901_XBALAALOLD04901_000_051,想起來了，確實有這麼一個男人來過這個村子。<hex:02100103>他抱著一個小女孩，這點讓人印象深刻。
70,TEXT_KINGMC105_04901_XBALAALOLD04901_000_052,但是，我不知道他的身份和目的……<hex:02100103>如果有人知道的話，應該是當時的族長，<hex:02100103>弗姆魯克。
71,TEXT_KINGMC105_04901_KRILE_000_053,小女孩……那會不會是……
72,TEXT_KINGMC105_04901_KRILE_000_054,謝謝您告訴我這些。<hex:02100103>我會去找弗姆魯克先生！
73,TEXT_KINGMC105_04901_XBALAALOLD04901_000_060,雖然我不知道那位異國魔道士和你們的關係，<hex:02100103>但希望你能從弗姆魯克那裡得到更多信息。
74,TEXT_KINGMC105_04901_WUKLAMAT_000_065,原來在我出生之前，<hex:02100103>弗姆魯克就已經是舒巴拉爾族的族長了。
75,TEXT_KINGMC105_04901_KRILE_000_070,終於有機會聽到關於爺爺的事情了……
76,TEXT_KINGMC105_04901_HUNMURRUK_000_075,嗯……還有什麼事嗎？
77,TEXT_KINGMC105_04901_KRILE_000_076,大約20年前，有一位異國的魔道士來到這個村子……<hex:02100103>您知道他的一些事情嗎？
78,TEXT_KINGMC105_04901_HUNMURRUK_000_077,……為什麼你想知道那個男人的事情？
79,TEXT_KINGMC105_04901_KRILE_000_078,因為那位魔道士可能是我的爺爺……
80,TEXT_KINGMC105_04901_HUNMURRUK_000_079,你的爺爺……？
81,TEXT_KINGMC105_04901_KRILE_000_080,是的，雖然沒有血緣關係，<hex:02100103>但他對我來說是很重要的家人。
82,TEXT_KINGMC105_04901_HUNMURRUK_000_081,確實，有一位異國的魔道士來過這個村子。<hex:02100103>他的名字是加拉夫……
