key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_KINGMC102_04898_SEQ_00,伊克布拉夏前的烏克拉瑪特似乎想要進入聚落。
1,TEXT_KINGMC102_04898_SEQ_01,「食之試煉」的內容是繼承候補者分成兩組來調理沙布魯克．皮比爾。抽籤結果，冒險者們將與科納一行共同作戰。與位於雅克特爾樹海星覺園庭前的「科納」對話。
2,TEXT_KINGMC102_04898_SEQ_02,決定分頭行動。在伊克布拉夏收集沙布魯克．皮比爾的情報。
3,TEXT_KINGMC102_04898_SEQ_03,聽取關於沙布魯克．皮比爾的情報並進行收集。前往星覺園庭前的「指定地點」等待。
4,TEXT_KINGMC102_04898_SEQ_04,根據收集到的情報，一行人推測出了沙布魯克．皮比爾的調理方法，接著前往採購所需物品。冒險者與烏克拉瑪特、科納將一起尋找香蕉葉。與位於星覺園庭前的「烏克拉瑪特」對話。
5,TEXT_KINGMC102_04898_SEQ_05,烏克拉瑪特似乎充滿幹勁。為了超越「食之試煉」，去尋找調理沙布魯克．皮比爾所需的香蕉葉吧。
6,TEXT_KINGMC102_04898_SEQ_06,
7,TEXT_KINGMC102_04898_SEQ_07,
8,TEXT_KINGMC102_04898_SEQ_08,
9,TEXT_KINGMC102_04898_SEQ_09,
10,TEXT_KINGMC102_04898_SEQ_10,
11,TEXT_KINGMC102_04898_SEQ_11,
12,TEXT_KINGMC102_04898_SEQ_12,
13,TEXT_KINGMC102_04898_SEQ_13,
14,TEXT_KINGMC102_04898_SEQ_14,
15,TEXT_KINGMC102_04898_SEQ_15,
16,TEXT_KINGMC102_04898_SEQ_16,
17,TEXT_KINGMC102_04898_SEQ_17,
18,TEXT_KINGMC102_04898_SEQ_18,
19,TEXT_KINGMC102_04898_SEQ_19,
20,TEXT_KINGMC102_04898_SEQ_20,
21,TEXT_KINGMC102_04898_SEQ_21,
22,TEXT_KINGMC102_04898_SEQ_22,
23,TEXT_KINGMC102_04898_SEQ_23,
24,TEXT_KINGMC102_04898_TODO_00,和科納對話
25,TEXT_KINGMC102_04898_TODO_01,在伊克布拉夏收集情報
26,TEXT_KINGMC102_04898_TODO_02,在指定地點等待
27,TEXT_KINGMC102_04898_TODO_03,和烏克拉瑪特對話
28,TEXT_KINGMC102_04898_TODO_04,
29,TEXT_KINGMC102_04898_TODO_05,
30,TEXT_KINGMC102_04898_TODO_06,
31,TEXT_KINGMC102_04898_TODO_07,
32,TEXT_KINGMC102_04898_TODO_08,
33,TEXT_KINGMC102_04898_TODO_09,
34,TEXT_KINGMC102_04898_TODO_10,
35,TEXT_KINGMC102_04898_TODO_11,
36,TEXT_KINGMC102_04898_TODO_12,
37,TEXT_KINGMC102_04898_TODO_13,
38,TEXT_KINGMC102_04898_TODO_14,
39,TEXT_KINGMC102_04898_TODO_15,
40,TEXT_KINGMC102_04898_TODO_16,
41,TEXT_KINGMC102_04898_TODO_17,
42,TEXT_KINGMC102_04898_TODO_18,
43,TEXT_KINGMC102_04898_TODO_19,
44,TEXT_KINGMC102_04898_TODO_20,
45,TEXT_KINGMC102_04898_TODO_21,
46,TEXT_KINGMC102_04898_TODO_22,
47,TEXT_KINGMC102_04898_TODO_23,
48,TEXT_KINGMC102_04898_KRILE_000_001,塞諾特的底部，到底是什麼樣的呢？
49,TEXT_KINGMC102_04898_ERENVILLE_000_005,雅克特爾樹海被稱為「青之森」的原因是……<hex:02100103>嘛，總有一天會明白的。
50,TEXT_KINGMC102_04898_ALPHINAUD_000_010,舒巴拉爾族居住的聚落，伊克布拉夏啊……<hex:02100103>真想知道那是個什麼樣的地方。
51,TEXT_KINGMC102_04898_ALISAIE_000_015,提前說好，不要推我。
52,TEXT_KINGMC102_04898_WUKLAMAT_000_020,那麼，差不多該進入伊克布拉夏了。
53,TEXT_KINGMC102_04898_ALPHINAUD_000_021,那麼，讓我們馬上開始尋找連王的挑選者吧。<hex:02100103>希望試煉還沒有結束……
54,TEXT_KINGMC102_04898_HUNMURRUK_000_022,(-溫和的舒巴拉爾族男性-)你們是烏克拉瑪特公主一行吧。
55,TEXT_KINGMC102_04898_WUKLAMAT_000_023,沒錯，我就是烏克拉瑪特。<hex:02100103>我們來這裡是為了尋找這個村子裡的連王挑選者。
56,TEXT_KINGMC102_04898_HUNMURRUK_000_024,(-溫和的舒巴拉爾族男性-)那麼，請到村子深處的「星覺園庭」。<hex:02100103>大家都在等著你們的到來。
57,TEXT_KINGMC102_04898_WUKLAMAT_000_025,大家……？
58,TEXT_KINGMC102_04898_KRILE_000_026,試煉怎麼樣了呢？
59,TEXT_KINGMC102_04898_ALPHINAUD_000_027,總之，先跟上去吧。
60,TEXT_KINGMC102_04898_WUKLAMAT_000_030,沙布魯克．皮比爾啊……<hex:02100103>即使是我這個吃遍特拉約拉美食的人，<hex:02100103>也沒聽過這道料理……
61,TEXT_KINGMC102_04898_ERENVILLE_000_035,佐拉賈王子和巴庫賈賈是強敵，<hex:02100103>但如果是做料理的話，力量就不重要了。<hex:02100103>我們應該也有勝算。
62,TEXT_KINGMC102_04898_KRILE_000_040,這次試煉中，只有兩人能獲得秘石。<hex:02100103>這場比賽，我們絕對不能輸。
63,TEXT_KINGMC102_04898_ALPHINAUD_000_045,首先，和科納王子他們商量一下試煉的進行方式吧。
64,TEXT_KINGMC102_04898_ALISAIE_000_050,這次的組合，難道不覺得很幸運嗎？<hex:02100103>因為我無法想像那兩個人會和睦地一起做料理！
65,TEXT_KINGMC102_04898_THANCRED_000_055,本來我還覺得在這裡競爭也挺有趣的，<hex:02100103>但既然要組隊，這樣的對手再好不過了……<hex:02100103>全力以赴去贏吧。
66,TEXT_KINGMC102_04898_URIANGER_000_060,從四組中選出我們來組隊……<hex:02100103>這一定是星辰的安排。
67,TEXT_KINGMC102_04898_KOANA_000_061,巴庫賈賈解開了瓦利加爾曼達的封印，<hex:02100103>試圖妨礙我們，結果卻被困住了，真是諷刺。
68,TEXT_KINGMC102_04898_WUKLAMAT_000_062,這就是惡行的報應吧！<hex:02100103>那個把應該保護的民眾置於危險中的傢伙，我絕不會原諒他！
69,TEXT_KINGMC102_04898_WUKLAMAT_000_063,但是，為什麼巴庫賈賈總是用卑鄙的手段……<hex:02100103>明明他已經夠強了。
70,TEXT_KINGMC102_04898_WUKLAMAT_000_064,難道他有什麼非得爭奪王位的理由嗎？
71,TEXT_KINGMC102_04898_KOANA_000_065,……那麼，為了確保我們的勝利，<hex:02100103>讓我們先決定這次試煉的進行方針吧。<hex:02100103>幸運的是，我們有一些優勢。
72,TEXT_KINGMC102_04898_WUKLAMAT_000_066,哈哈，你是想說有我在吧？
73,TEXT_KINGMC102_04898_KOANA_000_067,沒錯。
74,TEXT_KINGMC102_04898_ERENVILLE_000_068,你想說的是人數吧。
75,TEXT_KINGMC102_04898_ERENVILLE_000_069,對方有佐拉賈王子、薩雷加、巴庫賈賈，<hex:02100103>還有巴庫賈賈的三個手下……總共六人。
