key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_000_001,科沙瑪魯卡的野生生物大多色彩繽紛，<hex:02100103>但不要被它們看起來娛樂的外表所迷惑，千萬不可大意哦？<hex:02100103>它們艷麗的外表同時也是警戒色的表示。★
1,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_000_002,嘿嘿，歡迎來到，<hex:02100103>我被柏洛格先生告知要與你分享狩獵資訊。<hex:02100103>要聽聽有關危險魔物的資訊嗎？★
2,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_Q1_000_000,請問要詢問有關哪一種危險魔物的資訊呢？★
3,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_A1_000_001,關於B級：森林之角「羊頭怪」的資訊★
4,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_A1_000_002,關於B級：人食半魚「哥佐阿克貝」的資訊★
5,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_A1_000_003,關於A級：雨中歌唱者「雷恩歌手」的資訊★
6,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_A1_000_004,關於A級：陽光怪鳥「普庫恰」的資訊★
7,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_A1_000_005,
8,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_A1_000_006,取消
9,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_000_010,科沙瑪魯卡周圍有許多水域，所以像錘頭鱷這樣的肉食鱷魚很常見。<hex:02100103>而羊頭怪就是它的近親物種。★
10,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_000_011,雖然外表特徵非常相似，<hex:02100103>但羊頭怪會長得更大，力量也強得多。<hex:02100103>它會用頭部猛撞，將獵物撞暈然後吞下。★
11,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_000_012,對人類和家畜造成的損害也無法停止……<hex:02100103>如果看到了，希望能全力討伐它。<hex:02100103>保護每個人的安全是我們的責任。★
12,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_000_020,名為哥佐阿克貝的生物，<hex:02100103>在哈努哈努語中意為「人食半魚」。<hex:02100103>對他們而言，所謂的半魚代表著沼澤僧侶。★
13,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_000_021,正如其名所示，<hex:02100103>所追捕的確實是實際吞食人類的個體。<hex:02100103>若被放任不管，可能會帶來新的犧牲者。★
14,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_000_022,雖然想盡快擊倒它，<hex:02100103>讓哈努哈努族安心，這是我們想做的事……但記得要小心不要被吞進牠的胃裡哦？★
15,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_000_030,科沙瑪魯卡經常遭受重大損害，引起騷動的紅眼毒蛙……<hex:02100103>那就是瑞恩特里拉。<hex:02100103>擅長水魔法，喜歡和其他生物一起玩耍。★
16,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_000_031,然而，被迫參與遊戲的人可不好過。<hex:02100103>因為如果被瑞恩特里拉施放的水魔法擊中，<hex:02100103>手腳可能會輕而易舉地飛走。★
17,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_000_032,如果要戰鬥的話，最好注意它們的叫聲。<hex:02100103>因為牠們有著在行動時發出聲音的習性……<hex:02100103>透過這點，可以藉此預測它們的動向。★
18,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_000_040,作為被譽為優秀的武人的佐拉吉亞大人，有著他幼年時的逸事。<hex:02100103>為了磨練劍術，在跳來跳去的托卡利布利面對，<hex:02100103>他努力地用木劍刻苦修行。★
19,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_000_041,經過這樣的修行，佐拉吉亞大人熟練掌握了神速的劍術，然而，<hex:02100103>托卡利布利作為訓練對手，也隨著王子的成長變得強壯起來……<hex:02100103>最終據說它逃離皇宮，飛向遠方的天空。★
20,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_000_042,數年前，當科沙瑪魯卡出現了一隻巨大身軀的托卡利布利，<hex:02100103>開始襲擊人們時，許多人想起了王子的逸事。★
21,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_000_043,這隻兇暴的巨鳥被稱為，<hex:02100103>正是出於這樣的理由，與王子的訓練對手同名。<hex:02100103>雖然事實上，我們無法確定這兩者是否同一個個體。★
22,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_000_050,
23,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_000_051,
24,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_000_052,
25,TEXT_CTSHNT70RISKYMOBKOZAMAUKA_00899_BOLDUXUN_000_053,
