key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_REGSAK6LUWATENINYAWAWSA_00881_LIYUKWA_000_000,嘿，你好。<hex:02100103>我還以為是來採購的商人呢……原來是旅人嗎？<hex:02100103>歡迎來到魯瓦特尼亞薩。★
1,TEXT_REGSAK6LUWATENINYAWAWSA_00881_LIYUKWA_000_001,那個像黑鳥般的東西是什麼呢……。<hex:02100103>旅人大人，請小心。★
2,TEXT_REGSAK6LUWATENINYAWAWSA_00881_LIYUKWA_000_002,像黑鳥一樣的東西終於離開了。<hex:02100103>你也是因為和平降臨而出發旅行嗎？<hex:02100103>歡迎來到魯瓦特尼亞薩。★
3,TEXT_REGSAK6LUWATENINYAWAWSA_00881_LIYUKWA_000_003,歡迎來到魯瓦特尼亞薩。<hex:02100103>旅人大人，請盡情放鬆……。<hex:02100103>如果你有任何問題想要詢問，都可以隨意提出。★
4,TEXT_REGSAK6LUWATENINYAWAWSA_00881_LIYUKWA_Q1_000_000,要問什麼呢？★
5,TEXT_REGSAK6LUWATENINYAWAWSA_00881_LIYUKWA_A1_000_001,請告訴我關於你的事情★
6,TEXT_REGSAK6LUWATENINYAWAWSA_00881_LIYUKWA_A1_000_002,這裡是什麼地方呢？★
7,TEXT_REGSAK6LUWATENINYAWAWSA_00881_LIYUKWA_A1_000_003,取消★
8,TEXT_REGSAK6LUWATENINYAWAWSA_00881_LIYUKWA_000_004,我們是製作大家使用的工藝品的工匠。 <hex:02100103>我們是托納瓦塔族，是一個以農耕和狩獵為生的民族，但有時也會向造訪村落的商人出售傳統的商品。★
9,TEXT_REGSAK6LUWATENINYAWAWSA_00881_LIYUKWA_000_005,不過，有些人偶爾也會試圖以低價購買……。<hex:02100103>很久以前，托納瓦塔族是以物物交換的方式生活的，所以似乎還有人對金錢不太了解。★
10,TEXT_REGSAK6LUWATENINYAWAWSA_00881_LIYUKWA_000_006,這裡是魯瓦特尼亞薩，是托納瓦塔族的聚居地。<hex:02100103>魯瓦特尼亞薩這個名字是我們的族語所取的……<hex:02100103>翻譯成通用語言的話可能就是「鷹翱翔之處」的意思吧。★
11,TEXT_REGSAK6LUWATENINYAWAWSA_00881_LIYUKWA_000_007,這裡的房屋是用名為阿德砌的日曬磚砌成的，<hex:02100103>大多數是近100年前建造的。★
12,TEXT_REGSAK6LUWATENINYAWAWSA_00881_LIYUKWA_000_008,即使在陽光灼熱的荒野上，房屋內依然涼爽舒適……。<hex:02100103>我們繼承著先人的智慧和技術，適應在這片土地上生活。★
13,TEXT_REGSAK6LUWATENINYAWAWSA_00881_LIYUKWA_000_009,最近，對青燐水等新事業表現出興趣，有許多人離開聚居地獨自生活。<hex:02100103>如果你有興趣的話，也可以去看看聚居地。★
