key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_CMNDEFQSTMAIN01_00848_WUKLAMAT_100_001,我相信你的直覺！★
1,TEXT_CMNDEFQSTMAIN01_00848_KRILE_000_001,你對哪個部族感興趣呢？★
2,TEXT_CMNDEFQSTMAIN01_00848_ERENVILLE_000_005,和兩位王子相比，儘管經驗和成就稍嫌不足，但在親和力方面，烏克拉馬特有其優勢。<hex:02100103>因此，合作夥伴也能很快找到呢。★
3,TEXT_CMNDEFQSTMAIN01_00848_ALPHINAUD_000_010,確實，哈努哈努族和巴努巴努族很相似呢。<hex:02100103>不過，羽毛的鮮豔度卻有很大不同。★
4,TEXT_CMNDEFQSTMAIN01_00848_ALISAIE_000_015,關於佩爾佩爾族，<hex:02100103>他們為什麼要戴著那樣的面具呢？★
5,TEXT_CMNDEFQSTMAIN01_00848_HANUHANUCOLLABORATOR4864_000_020,在夏巴布切，可以隨心所欲地享用飲食嗎！？<hex:02100103>果然，果然，王女大方得很！★
6,TEXT_CMNDEFQSTMAIN01_00848_HANUHANUCOLLABORATOR4864_000_021,已收到註解。感謝通知。★
7,TEXT_CMNDEFQSTMAIN01_00848_PELUPELUCOLLABORATOR4864_000_025,竟然能接受王女的款待，實在是太意外了。<hex:02100103>那麼，毫無保留地享受吧！★
8,TEXT_CMNDEFQSTMAIN01_00848_PELUPELUCOLLABORATOR4864_000_026,已收到註解。感謝通知。★
9,TEXT_CMNDEFQSTMAIN01_00848_WUKLAMAT_100_030,繼續這樣下去，我們也去另一個部落看看吧！★
10,TEXT_CMNDEFQSTMAIN01_00848_KRILE_000_030,在與史詩相關的地方，突破連王選者所設下的考驗，<hex:02100103>獲得與石板成對的秘石……。<hex:02100103>這就是繼承儀式的進展方式呢。★
11,TEXT_CMNDEFQSTMAIN01_00848_ERENVILLE_000_035,只靠烏克拉馬特是無法超越試練的吧。<hex:02100103>沒有介紹您果然是對的呢。★
12,TEXT_CMNDEFQSTMAIN01_00848_ALPHINAUD_000_040,幸運地，成功獲得了第一顆秘石。<hex:02100103>希望能繼續保持這樣的進展。★
13,TEXT_CMNDEFQSTMAIN01_00848_ALISAIE_000_045,由於無法了解所有繼承候選人的情況，<hex:02100103>我們也無法就此放鬆休息呢。★
14,TEXT_CMNDEFQSTMAIN01_00848_PELUPELUCOLLABORATOR4864_000_050,呼～…好久不見，吃這麼飽的感覺。★
15,TEXT_CMNDEFQSTMAIN01_00848_HANUHANUCOLLABORATOR4864_000_050,果然、果然，夏芭布切是一家很棒的店呢。★
