key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_REGYOK6MAMOOK_00877_BEERILJA_000_000,請問還有其他需要我協助的地方嗎？★
1,TEXT_REGYOK6MAMOOK_00877_SYSTEM_000_001,嚴格保持沉默。<hex:02100103>似乎沒有打算說些什麼。★
2,TEXT_REGYOK6MAMOOK_00877_BEERILJA_000_010,……有人從外面來了嗎？有什麼事嗎？★
3,TEXT_REGYOK6MAMOOK_00877_Q1_000_000,請問您要問什麼呢？★
4,TEXT_REGYOK6MAMOOK_00877_A1_000_001,我能告訴您有關我的資訊。★
5,TEXT_REGYOK6MAMOOK_00877_A1_000_002,這裡是個什麼地方呢？★
6,TEXT_REGYOK6MAMOOK_00877_A1_000_003,取消。★
7,TEXT_REGYOK6MAMOOK_00877_BEERILJA_000_020,我是貝里加。<hex:02100103>天生身體虛弱，所以，<hex:02100103>儘管出生於弗比高族，但無法成為戰士。★
8,TEXT_REGYOK6MAMOOK_00877_BEERILJA_000_021,曾經對於無法成為雙頭的候選人感到羞愧……<hex:02100103>但是，不需要再去想那些事情了。<hex:02100103>現在我能做些什麼呢……。★
9,TEXT_REGYOK6MAMOOK_00877_BEERILJA_000_030,這裡是「瑪穆克」。<hex:02100103>是由陨石沉落的森林裡生活著的瑪穆加族的城市。★
10,TEXT_REGYOK6MAMOOK_00877_BEERILJA_000_040,雖然被告知不必依靠雙頭，<hex:02100103>要馬上改變還是很困難的呢。<hex:02100103>但是，還是要面向前方，繼續前進……★
11,TEXT_REGYOK6MAMOOK_00877_BEERILJA_000_050,烏克拉瑪托大人成為武王，科納大人成為理王了對吧。<hex:02100103>對這座城市關心無私的兩位，我忍不住抱著期待。★
12,TEXT_REGYOK6MAMOOK_00877_BEERILJA_000_060,雖然與外界的交流增加了……但我並沒有想要離開這座城市。<hex:02100103>以前曾經期望有一天能去陽光燦爛的地方，<hex:02100103>但比我想像的更多，原來我是真心喜歡這座城市的。★
