key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_REGYOK6ICUVLOSINN_00868_OVLI_000_000,歡迎，旅人。<hex:02100103>如果有什麼想知道的，我會盡力回答。★
1,TEXT_REGYOK6ICUVLOSINN_00868_OVLI_000_001,聽說瓦利加爾曼達已被釋放。<hex:02100103>簡單地請求，如果想要知道這裡的指引。★
2,TEXT_REGYOK6ICUVLOSINN_00868_OVLI_000_002,看來瓦利加爾曼達已經被擊敗了！<hex:02100103>雖然已經呼籲旅途者根據個人判斷避難，<hex:02100103>但這讓人感到一絲放心，並未出現大事故。★
3,TEXT_REGYOK6ICUVLOSINN_00868_OVLI_000_003,聽說新的連王已經確定了。<hex:02100103>從特里約拉來進行交易的人們也都似乎對國家的未來感到擔憂。★
4,TEXT_REGYOK6ICUVLOSINN_00868_OVLI_000_004,歡迎，武王的協力者。<hex:02100103>如果有任何想知道的，我會盡力回答。★
5,TEXT_REGYOK6ICUVLOSINN_00868_Q1_000_000,你想問什麼呢？★
6,TEXT_REGYOK6ICUVLOSINN_00868_A1_000_001,請告訴我關於你的事情
7,TEXT_REGYOK6ICUVLOSINN_00868_A1_000_002,這裡是什麼地方？
8,TEXT_REGYOK6ICUVLOSINN_00868_A1_000_003,取消★
9,TEXT_REGYOK6ICUVLOSINN_00868_OVLI_000_010,以前我是位商人，但現在在這裡擔任導遊的工作。<hex:02100103>因為腰傷了，無法再承受重物的負擔……。★
10,TEXT_REGYOK6ICUVLOSINN_00868_OVLI_000_011,佩魯佩魯族透過貿易幫助所有人獲得幸福。<hex:02100103>和所有進行交易的人都獲得豐盛，<hex:02100103>最近我們過著舒適自在的生活。★
11,TEXT_REGYOK6ICUVLOSINN_00868_OVLI_000_012,但如果瓦利加爾曼達的威脅迫在眉睫……。<hex:02100103>看起來不能再在這裡悠然自得了。★
12,TEXT_REGYOK6ICUVLOSINN_00868_OVLI_000_020,這裡是名為「伊庫夫洛隊商宿」的地方。<hex:02100103>來自奧爾科·帕恰外地的商人和他們的傭兵們，會和佩魯佩魯族進行交易，然後在這裡休息。★
13,TEXT_REGYOK6ICUVLOSINN_00868_OVLI_000_021,對於他們來說非常受歡迎的，有溫泉「帕納庫佩爾隱居處」。<hex:02100103>護理我的腰部劇痛的奇蹟溫泉……<hex:02100103>旅途中的人們，如果願意的話可以去泡一下。★
14,TEXT_REGYOK6ICUVLOSINN_00868_OVLI_000_022,然而現在瓦利加爾曼達已被解放，<hex:02100103>這讓人感到有些詭異，不知道還能否享受悠閒的氛圍。★
